               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.7193,              1.2355,                1.23,             0.49259,              0.3725,             0.38687,              0.2315,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,               1.703,               1.223,              1.2265,             0.49959,              0.3792,             0.38921,             0.23392,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              1.7266,               1.225,              1.2219,              0.4898,             0.38299,             0.39393,             0.23684,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              1.7335,              1.2314,              1.2177,             0.50458,             0.37819,              0.3939,             0.23854,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              1.7345,              1.2334,              1.2217,             0.49883,             0.38677,             0.39852,             0.24158,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              1.7299,              1.2372,              1.2217,             0.49969,             0.38509,             0.39569,             0.23954,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              1.7313,              1.2388,              1.2176,             0.50199,             0.38947,             0.40011,             0.24146,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              1.7191,              1.2228,              1.2124,             0.50698,             0.39194,             0.40491,             0.24443,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              1.7164,              1.2225,              1.2094,             0.50698,             0.38202,             0.39977,             0.24052,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              1.7162,              1.2205,              1.2054,             0.50675,             0.38883,             0.40243,             0.24146,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              1.7132,              1.2151,              1.2084,             0.50381,              0.3961,             0.40494,             0.24454,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              1.7031,              1.2011,              1.2061,             0.51763,             0.38671,             0.40562,             0.24613,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              1.6894,              1.1972,              1.2028,             0.50906,             0.39334,             0.40883,              0.2484,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              1.6935,              1.1987,               1.201,             0.51483,              0.3981,              0.4107,             0.24894,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.6864,              1.1886,               1.199,             0.52159,             0.39799,             0.41227,             0.25055,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.6947,              1.1962,              1.2002,             0.52454,             0.39051,             0.41026,             0.24939,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              1.6908,              1.1906,              1.1961,             0.51068,              0.3979,             0.41219,             0.24966,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              1.6972,              1.1972,              1.1979,             0.51998,              0.3989,             0.41633,             0.25242,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              1.6895,              1.1901,              1.1983,             0.53831,             0.39544,             0.41878,               0.253,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              1.6791,              1.1798,              1.1932,             0.51537,             0.40538,              0.4176,             0.25351,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              1.6862,              1.1831,              1.1962,             0.51914,             0.40356,             0.41773,             0.25314,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              1.6763,              1.1713,              1.1977,             0.52943,             0.40336,             0.41916,             0.25487,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              1.6686,              1.1618,              1.1923,             0.52539,             0.40233,             0.42274,             0.25755,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              1.6809,              1.1734,              1.1925,             0.52177,             0.40389,              0.4195,             0.25543,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              1.6751,              1.1747,              1.1936,             0.52082,             0.41173,              0.4236,             0.25799,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              1.6682,              1.1658,               1.189,              0.5316,             0.40418,             0.42483,             0.25898,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,               1.668,              1.1601,              1.1889,              0.5185,             0.41031,             0.42394,             0.25905,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              1.6637,              1.1614,              1.1902,             0.53172,             0.40766,             0.42732,             0.26082,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              1.6576,              1.1552,              1.1882,             0.53578,             0.40993,             0.42636,             0.26029,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              1.6677,              1.1581,              1.1905,             0.54218,             0.40538,             0.42784,             0.26064,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              1.6555,              1.1426,              1.1891,              0.5247,             0.41672,             0.42736,             0.26004,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              1.6495,              1.1388,              1.1872,             0.52767,             0.41102,             0.42839,             0.26171,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              1.6612,              1.1474,              1.1885,             0.53818,             0.41461,             0.43181,             0.26407,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              1.6507,              1.1434,              1.1869,             0.55084,             0.41113,             0.43333,              0.2649,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              1.6575,              1.1424,               1.188,             0.53786,             0.41526,             0.43263,              0.2643,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              1.6477,              1.1391,              1.1862,             0.54386,             0.41463,             0.43274,              0.2649,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              1.6421,              1.1329,              1.1825,             0.54683,             0.41177,             0.43249,             0.26495,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              1.6372,               1.125,              1.1834,             0.53579,             0.42196,             0.43582,             0.26734,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              1.6377,              1.1266,              1.1834,             0.53685,              0.4199,             0.43422,             0.26581,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,               1.635,              1.1287,               1.183,             0.53555,             0.41945,             0.43821,             0.26874,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              1.6241,              1.1158,              1.1807,             0.53624,             0.42181,             0.43701,             0.26756,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              1.6366,              1.1232,              1.1827,             0.53921,             0.42201,             0.43829,             0.26835,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,               1.634,              1.1166,              1.1836,             0.55124,             0.42235,             0.43933,             0.26979,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              1.6399,               1.121,              1.1799,             0.54273,             0.42149,             0.43915,             0.26929,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              1.6255,              1.1148,              1.1807,             0.54646,             0.42124,             0.44101,             0.27107,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              1.6251,              1.1138,              1.1771,             0.54383,             0.41992,             0.44117,             0.27007,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              1.6221,              1.1049,              1.1767,              0.5451,              0.4236,             0.44063,             0.26955,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              1.6263,              1.1065,               1.184,             0.54121,             0.42729,              0.4432,             0.27117,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              1.6202,              1.1116,              1.1776,             0.55399,             0.42093,             0.44343,             0.27209,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              1.6211,              1.1063,              1.1777,             0.54906,             0.42745,             0.44457,             0.27228,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
