               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              2.0932,              1.6551,              1.3151,              0.3749,             0.27305,             0.26135,              0.1478,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              2.0735,              1.6403,              1.3114,             0.36212,             0.27749,             0.26072,             0.14638,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              2.0771,              1.6299,              1.3062,             0.37695,             0.27549,             0.26579,             0.15066,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              2.0725,              1.6275,              1.3021,             0.35979,             0.27993,             0.26514,             0.15005,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              2.0732,              1.6316,              1.3089,             0.38393,              0.2783,             0.26948,             0.15236,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              2.0601,              1.6245,              1.3088,              0.3828,             0.27901,             0.27077,             0.15323,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              2.0586,              1.6237,              1.3036,             0.37894,             0.28288,             0.27063,             0.15266,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              2.0483,              1.6077,              1.3005,             0.37585,             0.28768,              0.2736,             0.15519,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              2.0421,               1.602,              1.2966,             0.38439,             0.28273,             0.27431,             0.15538,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              2.0519,              1.6068,              1.2954,             0.36903,             0.28992,             0.27312,             0.15374,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              2.0487,              1.6006,              1.2991,             0.38735,             0.28226,             0.27468,             0.15603,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              2.0371,               1.586,              1.2965,             0.36892,             0.28752,             0.27575,             0.15626,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              2.0238,               1.585,              1.2934,             0.37567,             0.29018,             0.27864,             0.15833,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              2.0284,              1.5843,              1.2916,             0.36954,              0.2943,             0.27734,             0.15711,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,               2.021,              1.5755,              1.2897,             0.38095,             0.29208,             0.28048,             0.15953,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              2.0276,              1.5765,              1.2901,             0.38749,             0.28782,             0.27868,              0.1594,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              2.0259,              1.5756,              1.2855,             0.39329,             0.28929,             0.28039,             0.15921,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              2.0371,              1.5862,              1.2888,             0.38802,             0.29149,             0.28265,             0.16068,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              2.0273,              1.5775,              1.2896,             0.39128,              0.2906,             0.28311,             0.16219,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              2.0175,              1.5652,              1.2844,             0.38675,             0.29569,             0.28483,             0.16214,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              2.0277,              1.5714,              1.2874,             0.38605,             0.29548,             0.28531,             0.16344,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              2.0177,              1.5625,              1.2897,             0.39229,             0.29605,             0.28647,             0.16384,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              2.0047,              1.5542,              1.2833,              0.4043,             0.28939,             0.28629,             0.16471,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              2.0227,              1.5634,              1.2823,             0.39558,             0.29295,             0.28833,             0.16469,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              2.0145,              1.5655,              1.2835,             0.38931,             0.29784,             0.28933,             0.16439,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              2.0093,              1.5553,              1.2802,             0.39207,             0.29729,             0.28856,             0.16451,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              2.0111,              1.5464,                1.28,             0.38325,             0.30237,             0.29067,             0.16623,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              2.0042,              1.5523,              1.2807,             0.39497,             0.29777,             0.28976,             0.16547,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              2.0023,              1.5469,              1.2793,             0.39544,             0.30008,             0.29259,              0.1672,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              2.0116,              1.5495,              1.2813,             0.40225,             0.29629,             0.29278,             0.16694,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              1.9951,              1.5334,              1.2788,             0.39913,             0.30065,             0.29554,             0.16826,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,                1.99,              1.5287,              1.2773,             0.40285,             0.29963,             0.29496,             0.16934,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              2.0059,              1.5419,              1.2804,             0.40051,              0.3026,             0.29657,             0.17044,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              1.9936,              1.5346,              1.2778,             0.39738,             0.30445,             0.29599,             0.16958,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,               2.003,               1.539,                1.28,               0.401,             0.30342,             0.29578,             0.16943,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              1.9905,               1.535,              1.2775,             0.40962,             0.30356,             0.29706,             0.16962,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              1.9836,              1.5249,               1.272,             0.40732,             0.29939,             0.29528,             0.16967,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              1.9818,              1.5194,               1.274,              0.4065,             0.30375,             0.29811,             0.17131,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              1.9835,              1.5173,               1.275,             0.41158,             0.30602,             0.29981,             0.17141,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
